Condition,Geometry Number,Location,Stenosis Percentage,Length,Width,R_scale,R_micro,R_total,P_d/P_a,CFR,CFR/FFR,discord,HMR,BMR/HMR,HSR,P_Loss_Coeff,Average Flow,Max Flow,v_distal,Q_distal,WSS_LMB,WSS_Bif,WSS_LE,WSS_TE,WSS_min,WSS_LE_min,WSS_TE_min,WSS_Area_Bifur,WSS_LE_Area,WSS_TE_Area,WSS_Area_Bifur_min,WSS_LE_Area_min,WSS_TE_Area_min,source
Non-hyperemic,5,LAD,4.813122844963183544e-01,1.2,0.71,0.24,0.0,0.24,0.9564809770610759,,,,7.549227639449927,,0.343483057887729,1.83802202782347,2.2302722528735632,3.363583,12.544044112234806,1.1916841906623066,73.820153,539.581591,241.2389221216187,194.99699505659206,0.8372863902919129,2.778466274643177,0.8085037098428268,0.2152446740719269,0.08837295227537117,0.0606112191697697,0.0021948763713696873,0.0010415108412944287,0.0014731756496067755,mine
Non-hyperemic,2,LAD,4.528590858545522568e-01,1.5,0.6799999999999999,0.24,0.0,0.24,0.9589551988075317,,,,8.14415595403404,,0.34858277261488163,1.8770772665721542,2.2302837586206894,3.3636,11.635443273560933,1.1053671109882885,72.634057,498.09088399999996,217.22935613893188,201.36631330983062,0.5689746249824182,4.093896732846243,0.9854800009603408,0.2546212398283756,0.05031780303230888,0.07959238330146053,0.0012217653874017984,0.0,0.011475645550127877,mine
Non-hyperemic,16,LAD,5.908588520863007343e-01,2.0,0.81,0.24,0.0,0.24,0.8710720798498311,,,,6.2478785192862265,,0.9247523844196244,2.2039493382998327,2.2137170229885053,3.338615,14.54220964594078,1.381509916364374,72.312544,799.287205,219.4918227036951,606.3764481133924,1.1308421717810158,3.6235834088768195,2.9966114986224253,0.23309442366375427,0.05202527157940534,0.1400204317526657,0.0010728641296764189,0.0,0.00026660872543844596,mine
Non-hyperemic,11,LAD,5.583999396986585317e-01,1.7,0.78,0.24,0.0,0.24,0.9056759204301098,,,,6.9640384493292755,,0.7252887064838395,,2.2247407126436776,3.35524,,,,,218.5433258454826,457.58007695583626,0.6935590339935441,1.2225345553981608,3.3777435485565483,0.23736565093066617,0.05173095001373966,0.1256843337182265,0.0010103833569652426,0.0,0.0005772518959142975,mine
Non-hyperemic,18,LAD,4.528590858545518127e-01,2.5,0.6799999999999999,0.24,0.0,0.24,0.9429564124782075,,,,7.859919513069869,,0.47548115769180094,2.000156973414627,2.2273547816091956,3.359183,11.954478020046443,1.1356754119044121,72.122823,446.08481299999994,206.18849700049495,203.5953779425802,0.16195007574354212,1.9336477024697274,1.471505897848199,0.23254385189045745,0.04172879725878237,0.11427913856038982,0.0010996936663021624,0.0,0.03472432583517972,mine
Non-hyperemic,20,LAD,4.528590858545518127e-01,2.7,0.6799999999999999,0.24,0.0,0.24,0.9395129712925312,,,,,,,,2.2286388965517245,3.361119,,,,,197.35880713035314,208.19777033284643,0.03829644457649778,1.0865002368602807,1.365481636076209,0.22686707393081315,0.044996535929644775,0.11291374391053959,0.0009504156831959385,0.0,0.0427262510479657,mine
Non-hyperemic,80,LAD,6.182608632229922296e-01,0.9,0.79,0.24,0.0,0.24,,,,,7.550864252144742,,0.6523740448670213,,2.2387672298850574,3.376394,,,72.621974,1206.01578,213.7914209802328,139.67142859278525,9.067810785302964,2.791949396484375,0.21920194358010756,0.1740025164790477,0.10889645261948483,0.07613685731705559,0.00022884524675174714,0.0,0.030072965607565748,mine
Non-hyperemic,74,LAD,4.058147879532344460e-01,2.0,0.9,0.24,0.0,0.24,,,,,8.891377452677842,,0.24069153044245636,,2.2313777931034484,3.36525,12.279237452983557,1.166527558033438,72.971077,370.916834,190.59191173453596,112.36267654195329,0.1463691675501021,2.405232266077529,0.1463691675501021,0.22824353082271576,0.03278732019098197,0.06872955623323024,0.00029536577112384307,0.0,0.06641727737226667,mine
Non-hyperemic,73,LAD,4.058147879532344460e-01,1.66,0.9,0.24,0.0,0.24,,,,,9.160319948464686,,0.2271693615211812,,2.219674172413793,3.347599,11.930788278712079,1.1334248864776475,72.406544,390.679194,209.0196941148098,99.18711281608243,0.2464122733198959,1.7113678722599175,0.1710160132646452,0.21097811652881188,0.025235538301956104,0.021577148953206567,8.374448450622009e-05,0.0,0.07483288191042224,mine
Non-hyperemic,26,LAD,5.883401703217540080e-01,2.5,0.78,0.24,0.0,0.24,0.8497845324176764,,,,6.506869145412376,,1.1502120289178175,2.321034218398372,2.231082183908047,3.364804,13.81331662019017,1.312265078918066,73.584895,779.126378,176.80616166586108,490.2939095107783,0.4029306558292767,5.127062708344647,1.3967860861800359,0.22968494561823102,0.04807180772531175,0.12322397947534353,0.0005386010705109561,0.0,0.008335279043436502,mine
