min_side_points,min_seff,trim_frac_overall,min_total_side,b_hat,supF,p_value,Seff,delta_slope,n_candidates,top1,top2,gap,gap_over_top1,n_within_5pct,error
1,8,0.2,0,3.4461400964999997,103.01655678616673,0.011673151750972763,8.0,-0.08973820469925484,14,103.01655678616673,102.13157347030673,0.8849833158599978,0.008590690113017203,3.0,
1,8,0.2,4,3.4461400964999997,103.01655678616673,0.011673151750972763,8.0,-0.08973820469925484,14,103.01655678616673,102.13157347030673,0.8849833158599978,0.008590690113017203,3.0,
1,8,0.2,6,3.4461400964999997,103.01655678616673,0.011673151750972763,8.0,-0.08973820469925484,14,103.01655678616673,102.13157347030673,0.8849833158599978,0.008590690113017203,3.0,
2,4,0.0,0,3.8184184695,70.27323384236225,0.019455252918287938,7.0,-0.07857900452131535,9,70.27323384236225,59.44402672873573,10.829207113626516,0.1541014483255278,1.0,
2,4,0.0,4,3.8184184695,70.27323384236225,0.019455252918287938,7.0,-0.07857900452131535,9,70.27323384236225,59.44402672873573,10.829207113626516,0.1541014483255278,1.0,
2,4,0.0,6,3.8184184695,70.27323384236225,0.019455252918287938,7.0,-0.07857900452131535,9,70.27323384236225,59.44402672873573,10.829207113626516,0.1541014483255278,1.0,
2,4,0.1,0,3.8184184695,70.27323384236225,0.019455252918287938,7.0,-0.07857900452131535,9,70.27323384236225,59.44402672873573,10.829207113626516,0.1541014483255278,1.0,
2,4,0.1,4,3.8184184695,70.27323384236225,0.019455252918287938,7.0,-0.07857900452131535,9,70.27323384236225,59.44402672873573,10.829207113626516,0.1541014483255278,1.0,
2,4,0.1,6,3.8184184695,70.27323384236225,0.019455252918287938,7.0,-0.07857900452131535,9,70.27323384236225,59.44402672873573,10.829207113626516,0.1541014483255278,1.0,
2,4,0.2,0,3.8184184695,70.27323384236225,0.019455252918287938,7.0,-0.07857900452131535,9,70.27323384236225,59.44402672873573,10.829207113626516,0.1541014483255278,1.0,
2,4,0.2,4,3.8184184695,70.27323384236225,0.019455252918287938,7.0,-0.07857900452131535,9,70.27323384236225,59.44402672873573,10.829207113626516,0.1541014483255278,1.0,
2,4,0.2,6,3.8184184695,70.27323384236225,0.019455252918287938,7.0,-0.07857900452131535,9,70.27323384236225,59.44402672873573,10.829207113626516,0.1541014483255278,1.0,
2,6,0.0,0,3.8184184695,70.27323384236225,0.019455252918287938,7.0,-0.07857900452131535,4,70.27323384236225,55.99971180138893,14.273522040973312,0.2031146321370644,1.0,
2,6,0.0,4,3.8184184695,70.27323384236225,0.019455252918287938,7.0,-0.07857900452131535,4,70.27323384236225,55.99971180138893,14.273522040973312,0.2031146321370644,1.0,
2,6,0.0,6,3.8184184695,70.27323384236225,0.019455252918287938,7.0,-0.07857900452131535,4,70.27323384236225,55.99971180138893,14.273522040973312,0.2031146321370644,1.0,
2,6,0.1,0,3.8184184695,70.27323384236225,0.019455252918287938,7.0,-0.07857900452131535,4,70.27323384236225,55.99971180138893,14.273522040973312,0.2031146321370644,1.0,
2,6,0.1,4,3.8184184695,70.27323384236225,0.019455252918287938,7.0,-0.07857900452131535,4,70.27323384236225,55.99971180138893,14.273522040973312,0.2031146321370644,1.0,
2,6,0.1,6,3.8184184695,70.27323384236225,0.019455252918287938,7.0,-0.07857900452131535,4,70.27323384236225,55.99971180138893,14.273522040973312,0.2031146321370644,1.0,
2,6,0.2,0,3.8184184695,70.27323384236225,0.019455252918287938,7.0,-0.07857900452131535,4,70.27323384236225,55.99971180138893,14.273522040973312,0.2031146321370644,1.0,
2,6,0.2,4,3.8184184695,70.27323384236225,0.019455252918287938,7.0,-0.07857900452131535,4,70.27323384236225,55.99971180138893,14.273522040973312,0.2031146321370644,1.0,
2,6,0.2,6,3.8184184695,70.27323384236225,0.019455252918287938,7.0,-0.07857900452131535,4,70.27323384236225,55.99971180138893,14.273522040973312,0.2031146321370644,1.0,
2,8,0.0,0,,,,,,0,,,,,,'b'
2,8,0.0,4,,,,,,0,,,,,,'b'
2,8,0.0,6,,,,,,0,,,,,,'b'
2,8,0.1,0,,,,,,0,,,,,,'b'
2,8,0.1,4,,,,,,0,,,,,,'b'
2,8,0.1,6,,,,,,0,,,,,,'b'
2,8,0.2,0,,,,,,0,,,,,,'b'
2,8,0.2,4,,,,,,0,,,,,,'b'
2,8,0.2,6,,,,,,0,,,,,,'b'
