Condition,Geometry Number,Location,Stenosis Percentage,Length,Width,R_scale,R_micro,R_total,P_d/P_a,CFR,CFR/FFR,discord,HMR,BMR/HMR,HSR,P_Loss_Coeff,Average Flow,Max Flow,v_distal,Q_distal,WSS_LMB,WSS_Bif,WSS_LE,WSS_TE,WSS_min,WSS_LE_min,WSS_TE_min,WSS_Area_Bifur,WSS_LE_Area,WSS_TE_Area,WSS_Area_Bifur_min,WSS_LE_Area_min,WSS_TE_Area_min,source
Hyperemic,240,,,,,,,,0.75257732,3.777777778,5.019786908,1,1.073529412,5.01978691,,1.115845426,,,,,,,,,,,,,,,,,,garcia
Hyperemic,241,,,,,,,,0.755555556,1.764705882,2.335640137,3,2.266666667,2.179930796,,1.788832181,,,,,,,,,,,,,,,,,,garcia
Hyperemic,242,,,,,,,,0.755555556,1.80952381,2.394957982,3,1.789473684,2.075630252,,1.583507497,,,,,,,,,,,,,,,,,,garcia
Hyperemic,243,,,,,,,,0.756302521,2.8,3.702222222,1,2.142857143,3.173333333,,1.616551427,,,,,,,,,,,,,,,,,,garcia
Hyperemic,244,,,,,,,,0.757575758,1.5,1.979999999,3,2.083333333,2.04,,1.66825825,,,,,,,,,,,,,,,,,,garcia
Hyperemic,245,,,,,,,,0.757894737,4.769230769,6.292735041,1,2.322580645,6.623931624,,1.779656458,,,,,,,,,,,,,,,,,,garcia
Hyperemic,246,,,,,,,,0.757894737,3.090909091,4.078282828,1,2.117647059,3.648989899,,1.699422011,,,,,,,,,,,,,,,,,,garcia
Hyperemic,247,,,,,,,,0.758241758,2,2.63768116,1,1.916666667,2.492753623,,1.630469689,,,,,,,,,,,,,,,,,,garcia
Hyperemic,248,,,,,,,,0.7625,2.222222222,2.914389799,1,1.525,2.550091075,,1.475285628,,,,,,,,,,,,,,,,,,garcia
Hyperemic,249,,,,,,,,0.764705882,2.074074074,2.712250713,1,1.625,2.347578348,,1.351433987,,,,,,,,,,,,,,,,,,garcia
Hyperemic,250,,,,,,,,0.76744186,3,3.909090911,1,1.571428571,4,,1.455183424,,,,,,,,,,,,,,,,,,garcia
Hyperemic,251,,,,,,,,0.768421053,1.857142857,2.416829744,3,2.807692308,2.467710372,,1.913127994,,,,,,,,,,,,,,,,,,garcia
Hyperemic,252,,,,,,,,0.769230769,2.5,3.250000001,1,2.8,2.821428571,,1.926991287,,,,,,,,,,,,,,,,,,garcia
Hyperemic,253,,,,,,,,0.769230769,1.9375,2.518750001,3,0.967741935,2.260416667,,1.071141136,,,,,,,,,,,,,,,,,,garcia
Hyperemic,254,,,,,,,,0.769230769,2.416666667,3.141666668,1,2.75862069,3.020833333,,1.856067255,,,,,,,,,,,,,,,,,,garcia
Hyperemic,255,,,,,,,,0.771186441,2.217391304,2.875298613,1,1.784313725,2.63162924,,1.416875421,,,,,,,,,,,,,,,,,,garcia
Hyperemic,256,,,,,,,,0.772727273,1.177777778,1.524183006,3,1.924528302,1.270152505,,1.429221525,,,,,,,,,,,,,,,,,,garcia
Hyperemic,257,,,,,,,,0.773809524,2.129032258,2.751364764,1,0.984848485,2.55483871,,1.040317739,,,,,,,,,,,,,,,,,,garcia
Hyperemic,258,,,,,,,,0.774193548,2.5,3.229166668,1,1.309090909,3.090277778,,1.242145925,,,,,,,,,,,,,,,,,,garcia
Hyperemic,259,,,,,,,,0.774193548,1.611111111,2.081018519,3,2.482758621,1.857253086,,1.798075308,,,,,,,,,,,,,,,,,,garcia
Hyperemic,260,,,,,,,,0.776595745,1.9,2.446575341,3,1.921052632,2.394520548,,1.563304111,,,,,,,,,,,,,,,,,,garcia
Hyperemic,261,,,,,,,,0.777777778,2.4,3.085714285,1,4.375,3.017142857,,2.117350781,,,,,,,,,,,,,,,,,,garcia
Hyperemic,262,,,,,,,,0.777777778,2.481481481,3.190476189,1,1.044776119,2.977777778,,1.0495324,,,,,,,,,,,,,,,,,,garcia
Hyperemic,263,,,,,,,,0.78,3.230769231,4.142011835,1,1.857142857,3.727810651,,1.49657611,,,,,,,,,,,,,,,,,,garcia
Hyperemic,264,,,,,,,,0.78021978,1.923076923,2.464788733,3,2.84,2.491874323,,1.905801988,,,,,,,,,,,,,,,,,,garcia
Hyperemic,265,,,,,,,,0.782178218,1.538461538,1.966893865,3,1.975,1.927945472,,1.538954708,,,,,,,,,,,,,,,,,,garcia
Hyperemic,266,,,,,,,,0.784313725,1.967741935,2.508870969,3,1.31147541,2.435080645,,1.17241502,,,,,,,,,,,,,,,,,,garcia
Hyperemic,267,,,,,,,,0.788888889,2.5,3.169014084,1,2.84,2.992957746,,1.883525593,,,,,,,,,,,,,,,,,,garcia
Hyperemic,268,,,,,,,,0.788990826,2.447368421,3.101897184,1,0.924731183,2.845777234,,0.825413948,,,,,,,,,,,,,,,,,,garcia
