Condition,Geometry Number,Location,Stenosis Percentage,Length,Width,R_scale,R_micro,R_total,P_d/P_a,CFR,CFR/FFR,discord,HMR,BMR/HMR,HSR,P_Loss_Coeff,Average Flow,Max Flow,v_distal,WSS_LMB,WSS_Bif,WSS_LE,WSS_TE,WSS_min,WSS_LE_min,WSS_TE_min,WSS_Area_Bifur,WSS_LE_Area,WSS_TE_Area,WSS_Area_Bifur_min,WSS_LE_Area_min,WSS_TE_Area_min,source,BMR,iFR,FFR
Hyperemic,16,LAD,0.591,2.0,0.81,0.24,0.0,0.24,0.51708239,2.356638906,4.557569456,1.0,1.262512114,4.948767185,1.17909514,1.863434031,5.723283207,7.86791,40.61337659,581.733328,2169.667977,,,0.734119248,,,,,,,,,mine,6.24787852042818,,0.51708239
Hyperemic,18,LAD,0.453,2.5,0.68,0.24,0.0,0.24,0.698815174,3.190504655,4.565591554,1.0,1.71049844,4.595104754,0.737213779,1.621534084,6.511574356,10.717489,44.32141733,769.259048,1876.517458,,,0.249105435,,,,,,,,,mine,7.859919513353584,,0.698815174
Hyperemic,22,LAD,0.481,2.5,0.71,0.24,0.0,0.24,0.661776337,2.851410576,4.308722476,1.0,1.617268734,4.639312027,0.826561069,1.708109429,6.33915646,9.590172,40.71175241,736.532308,1733.477824,,,0.563536841,,,,,,,,,mine,7.503014288537264,,0.661776337
Hyperemic,25,LAD,0.591,2.5,0.81,0.24,0.0,0.24,,,,,,,,,,,,,,,,,,,,,,,,,mine,,,
Hyperemic,26,LAD,0.588,2.5,0.78,0.24,0.0,0.24,0.483869963,2.542233069,5.253959255,1.0,1.315848432,4.944998975,1.403577309,1.974745804,5.521073759,8.554116,37.41491947,555.281961,,498.4516702,1382.06823,0.810531592,4.398622813,0.964112148,0.854260056,0.167622329,0.154369602,0.0,0.0,0.003152871,mine,6.506869147495356,,0.483869963
Hyperemic,27,LAD,0.441,3.0,0.67,0.24,0.0,0.24,0.690827368,,,,1.714282633,,0.767209433,1.667011452,6.518807241,10.476556,41.53906933,807.217486,1641.570559,689.422165,931.1602991,,1.566998383,1.104717944,0.906039139,0.197018057,0.168832423,0.0,0.0,0.0,mine,,,0.690827368
Hyperemic,28,LAD,0.479,3.0,0.67,0.24,0.0,0.24,0.63411731,,,,1.545034365,,0.891477526,1.725194916,6.269492517,10.018652,42.21528863,776.568645,1719.913802,702.9437029,1087.71143,0.619988232,2.946887861,1.840773885,0.89644805,0.188924191,0.161637911,0.0,0.0,0.000124778,mine,,,0.63411731
Hyperemic,29,LAD,0.574,3.0,0.67,0.24,0.0,0.24,0.521871953,,,,,,,,5.710921897,8.978154,39.22059128,641.741912,1830.526006,555.8838788,1059.146014,,3.858521911,0.868700168,0.87493965,0.165870629,0.150224341,0.0,0.0,0.000238684,mine,,,0.521871953
Hyperemic,30,LAD,0.589,3.0,0.67,0.24,0.0,0.24,0.469546489,,,,1.291723809,,1.459279211,1.992589157,5.458982977,8.576897,37.33391361,596.237418,1840.200601,532.3045266,1166.234728,,4.616771149,1.719785666,0.852101575,0.158821953,0.14646903,0.0,0.0,0.001130924,mine,,,0.469546489
Hyperemic,38,LAD,1.22e-15,0.1,0.251,0.24,0.0,0.24,0.964578422,3.748997458,3.886669421,0.0,1.800845216,4.145135925,0.066131252,0.480711818,7.461479057,12.545064,54.9856299,1010.994858,1929.592179,936.3744589,936.3744589,,25.64289425,4.36929602,0.903215595,0.253257595,0.246738978,0.0,0.0,0.0,mine,7.464748200205984,,0.964578422
Hyperemic,52,LCX,0.303,0.9,0.61,0.24,0.0,0.24,0.912696236,3.669399535,4.020395167,0.0,2.112068729,4.100138644,0.202029485,1.079381863,7.382394908,12.34426,42.32404556,1046.328859,2187.311718,1106.017478,322.0827865,3.207490599,10.41412038,11.47801754,0.890435767,0.192953501,0.243759665,6.92e-05,0.0,0.0,mine,8.659774614556865,,0.912696236
Hyperemic,54,LCX,0.301,3.0,0.9,0.24,0.0,0.24,0.842737951,3.594209457,4.264919426,0.0,2.529300165,3.943311326,0.471988863,1.555443341,7.312828839,12.119358,33.04020169,1084.868221,1863.389237,925.3396628,232.5527115,2.143027843,5.176404848,2.967450936,0.924223152,0.187945616,0.104906821,0.0,0.0,0.006228525,mine,9.973817987498169,,0.842737951
Hyperemic,56,LCX,0.599,0.9,0.57,0.24,0.0,0.24,0.572520443,3.067225399,5.357407642,1.0,1.310531256,5.511597682,0.978524569,1.761940814,6.556845,10.417828,42.57799437,1866.911607,3448.994889,1035.856331,1727.560353,13.28389105,22.32315889,0.194467876,,0.209743864,0.153524985,0.015276951,0.0,0.061447091,mine,7.223121032758148,,0.572520443
