Condition,Geometry Number,Stenosis Percentage,Length,Width,Average Flow,Max Flow,P_d/P_a,HMR,HSR,P_Loss_Coeff,WSS_TE,WSS_LE,WSS_TE_Area,WSS_LE_Area,Rtotal_cor Value,Location,CFR,BMR/HMR,CFR/FFR,WSS_Area_Bifur,WSS_Bif,WSS_LMB,WSS_min,WSS_TE_min,WSS_LE_min,WSS_TE_Area_min,WSS_LE_Area_min,WSS_Area_Bifur_min,v_distal,discord,source,Location_num
Hyperemic,26,0.588340170321754,2.5,0.78,5.521073758620689,8.554116,0.4838699627372058,1.3158484317111423,1.4035773087657295,1.9747458035257996,1382.0682300726066,498.45167022310807,0.1543696015316676,0.1676223289131116,0.24,LAD,2.542233069147564,4.944998974502542,5.253959255429695,0.8542600556361211,2634.6903644,934.96724384,0.8105315919675893,0.9641121483925308,4.398622812674697,0.0031528710311348,0.0,0.0,37.41491946706594,1.0,mine,0
Hyperemic,10,0.5583999396986585,1.5,0.78,4.644740482758621,7.042027,0.6034385529576421,1.6162439707701814,1.0621463356636076,1.849537602148693,1425.0936520585053,723.0299951160384,0.2119117026157337,0.2431446553575891,0.24,LAD,2.115879885066278,4.650768173174628,3.5063717336184195,0.8796688121457623,2343.246802,828.28908,6.554413139143866,7.991082504656526,0.9551967596682552,0.0,0.0002334431942147,0.0001066739906794,37.77470077296363,1.0,mine,0
Hyperemic,28,0.4791821992728509,3.0,0.6699999999999999,6.26949251724138,10.018652,0.6341173095287673,1.545034364889574,0.8914775260060365,1.7251949160339646,1087.7114303819303,702.9437028692568,0.1616379107515294,0.1889241914792997,0.24,LAD,3.0091973862571484,4.5964755236511365,4.359476637177798,0.896448050344565,1719.913802,776.568645,0.6199882322180928,1.8407738849780304,2.9468878609798588,0.0001247784861709,0.0,0.0,42.215288630699185,,mine,0
Hyperemic,88,0.19718878099658513,0.9,0.43,7.529893551724139,12.589395,0.955572398391019,2.3573700823947332,0.1096016367173337,0.8408071658169932,311.5131149702464,852.1112578170527,0.23038649222582325,0.270316769622192,0.24,LAD,3.709949625951918,3.719529468717946,3.882436989807036,0.9015223361951286,1891.538202,1044.787504,84.72044971874178,22.7390241409548,9.104427070039604,0.0017597324726388401,0.0,8.347271496188e-06,39.77078412398227,0.0,mine,0
Hyperemic,43,0.45253744510609184,1.2,0.63,3.345518252873563,5.622249,0.9305854312075452,4.698202113379216,0.3504500101369882,1.5890249309172095,318.27080780434557,428.0651502712763,0.1249790736996265,0.1802906998445776,0.62,LAD,1.673474666525381,1.697916205709128,1.7983031008274528,0.4784084697921411,879.953135,376.75685,1.5539238746983943,0.8221760058685452,3.4747285776189045,0.0010212787304176,8.15505608154954e-05,0.0001230931518852,22.706773389437632,2.0,mine,0
Hyperemic,44,0.45253744510609184,1.2,0.63,2.641871827586207,4.307206,0.9521845720622448,6.228996279391036,0.3127987277473944,1.6442846985201878,219.20823757035097,315.5809588680083,0.0843845674305528,0.1284761228561012,0.81,LAD,1.2820492519107782,1.2806483016206447,1.346429347341883,0.2987177412980593,644.577906,265.821498,1.170979141765698,1.6682006892103798,4.934876195125481,0.0025178942701481,0.0,0.0006617863568095,17.845739915414583,2.0,mine,0
Hyperemic,86,0.11137703100194583,2.0,0.43,7.493182551724139,12.631045,0.9376209580254836,2.1706434577333726,0.1444108711550147,0.9317990137180282,212.6642977426254,979.650865313902,0.3131941971378044,0.2313329980855783,0.24,LAD,3.781916449616196,3.756206726260193,4.033523800044375,0.9248529689574372,2003.333109,949.370312,4.646975943657963,65.27433742433041,4.646975943657963,0.0,0.0,0.0,42.4966948049477,0.0,mine,0
Hyperemic,31,0.4528590858545518,2.5,0.6799999999999999,4.39696891954023,7.559204,0.8330686984997977,3.1318658217770725,0.6275670166154661,1.741307545090114,605.2747147487365,522.8618905069973,0.1602228747408965,0.1236116404692092,0.43,LAD,2.2503102688957406,2.509660362336347,2.701230130177898,0.6882827319874221,1503.760284,362.853009,0.2104729193544158,1.9637056876320207,1.8260573343842632,0.0034986449862764,0.0,0.0,28.635636758840057,0.0,mine,0
Hyperemic,36,0.588340170321754,2.5,0.78,2.4246578390804605,3.777631,0.8143860169028653,5.181668622997408,1.181000326923234,1.7819941146043596,566.7719912810163,215.29496278791,0.1288030046416231,0.0590228133055796,0.81,LAD,1.1226897614244395,1.2557478331465337,1.378572001633897,0.254525137154013,571.3153990000001,209.035986,0.4406662047319519,1.4596156582377064,4.471410251735233,0.0061482382922623,0.0,0.000316263615338,21.441005007714843,2.0,mine,0
Hyperemic,38,1.221245327087672e-15,0.1,0.251,7.461479057471265,12.545064,0.964578422484488,1.8008452159937658,0.0661312516689518,0.4807118179117628,936.374458853519,936.374458853519,0.246738978350091,0.2532575951228662,0.24,LAD,3.7489974583451,1.0148960348547051,3.88666942050053,0.9032155951429448,1929.592179,1010.994858,24.514190951152507,4.369296020094136,25.64289425477569,0.0,0.0,0.0,54.98562990226893,0.0,mine,0
Hyperemic,53,0.30254953059368606,0.9,0.61,2.6828778965517244,4.45746,0.9845733001599538,7.010223977318492,0.1098390755589429,1.2355430640122145,78.10411912282758,327.48764622021844,0.0084619295563501,0.042847528733596,0.24,LCX,1.3250046297548623,1.2353064101066005,1.3457653478309863,0.1909587716343082,643.138253,260.938233,0.4942072273738698,0.2830729959539986,5.9058722413658415,0.0840146073462155,0.0,0.0187784205997567,16.06083368563955,2.0,mine,1
