Condition,Geometry Number,Stenosis Percentage,Length,Width,Average Flow,Max Flow,v_distal,P_d/P_a,HMR,HSR,P_Loss_Coeff,WSS_TE,WSS_LE,WSS_TE_Area,WSS_LE_Area,R_scale,R_micro,R_total,Location,CFR,BMR/HMR,CFR/FFR,WSS_Area_Bifur,WSS_Bif,WSS_LMB,WSS_min,WSS_TE_min,WSS_LE_min,WSS_TE_Area_min,WSS_LE_Area_min,WSS_Area_Bifur_min,discord,source,Location_num
Hyperemic,98,0.405814788,2,0.9,7.178217184,11.764026,39.83858546,0.839146427,2.074949387,0.397741101,1.399850842,638.2716611,772.7755377,0.210204485,0.253801718,0.24,0,0.24,LAD,3.495736127,4.285105704,4.165823765,0.905652334,1779.039753,904.389907,0.419260941,4.804038088,6.716936457,0,0,0,0,mine,0
Hyperemic,54,0.300790134,3,0.9,7.312828839,12.119358,33.04020169,0.842737951,2.529300165,0.471988863,1.555443341,232.5527115,925.3396628,0.104906821,0.187945616,0.24,0,0.24,LCX,3.594209457,3.943311326,4.264919426,0.924223152,1863.389237,1084.868221,2.143027843,2.967450936,5.176404848,0.006228525,0,0,0,mine,1
Hyperemic,96,0.391611736,0.9,0.745,7.430936759,12.285924,37.16366309,0.926318414,2.445656045,0.19453334,1.119429809,338.0850954,895.7689062,0.193373337,0.291046815,0.24,0,0.24,LAD,3.648280537,3.901269952,3.93847351,0.910056348,1898.255739,1001.229248,4.08200339,0.510938158,7.018690654,0.003639622,0,0,0,mine,0
Hyperemic,91,0.204844196,2.5,0.58,7.447860241,12.426984,42.84841928,0.910272573,2.082481476,0.205274454,1.080954381,259.123871,856.0939946,0.233978022,0.265448142,0.24,0,0.24,LAD,3.706509232,3.870708035,4.07186742,0.880595829,1853.613765,999.603756,6.813019877,48.15929761,8.349790135,0,0,0,0,mine,0
Hyperemic,39,1.22E-15,0.1,0.251,4.726278621,8.421709,35.99441966,0.980134583,3.003824285,0.060881662,0.628805605,545.2060713,545.2060713,0.110807818,0.127953558,0.43,0,0.43,LAD,2.516764015,0.60844793,2.567773915,0.631962901,1107.928699,559.284393,28.34523674,2.367019543,12.38220519,0,0,0,0,mine,0
Hyperemic,30,0.589102286,3,0.67,5.458982977,8.576897,37.33391361,0.469546489,1.291723809,1.459279211,1.992589157,1166.234728,532.3045266,0.14646903,0.158821953,0.24,0,0.24,LAD,2.681157124,5.05728165,5.072875529,0.852101575,1840.200601,596.237418,3.873791141,1.719785666,4.616771149,0.001130924,0,0,,mine,0
Hyperemic,90,0.204844196,2,0.58,7.431015115,12.107212,40.53392954,0.927742771,2.212383998,0.172311487,1.029049801,247.9728486,814.4667631,0.240318246,0.237581623,0.24,0,0.24,LAD,3.609858286,3.836142508,3.891012031,0.881590549,1797.326989,960.002738,7.873676305,35.96565057,7.873676305,0,0,0,0,mine,0
Hyperemic,97,0.405814788,1.66,0.9,7.189452103,11.819316,38.62075103,0.849483843,2.167709265,0.384086491,1.398162597,603.2531883,825.1230003,0.207901898,0.278591463,0.24,0,0.24,LAD,3.530684529,4.22580652,4.156270374,0.915987847,1800.281676,956.872246,0.683688322,5.910061844,11.24438304,0,0,0,0,mine,0
Hyperemic,55,0.300790134,3,0.9,2.678678724,4.363152,13.65771127,0.964690223,8.079212891,0.295716902,1.736052501,61.44473693,270.9768647,0,0.042533224,0.81,0,0.81,LCX,1.293969712,1.234503673,1.34133184,0.195403341,534.485786,267.775446,0.379101071,6.289354415,3.989964346,0,0,0.000587942,2,mine,1
Hyperemic,52,0.302549531,0.9,0.61,7.382394908,12.34426,42.32404556,0.912696236,2.112068729,0.202029485,1.079381863,322.0827865,1106.017478,0.243759665,0.192953501,0.24,0,0.24,LCX,3.669399535,4.100138644,4.020395167,0.890435767,2187.311718,1046.328859,3.207490599,11.47801754,10.41412038,0,0,6.92E-05,0,mine,1
Hyperemic,99,0.405814788,2.5,0.9,7.108032046,11.659506,40.38169596,0.815711656,1.990080358,0.449605706,1.447201539,631.8463008,780.5529543,0.191434881,0.258724209,0.24,0,0.24,LAD,3.442282348,4.305304055,4.219974453,0.905652334,1732.2124,847.591193,0.658035401,3.42896688,8.491129764,0.00035535,0,0,0,mine,0
Hyperemic,115,0.58834017,2.5,0.78,2.993484184,4.872295,20.008623,0.755624005,3.825090444,1.237070658,2.191731585,646.247176,241.1292802,0.13167678,0.07525076,0.24,0.38,0.62,LAD,1.448017477,1.701102037,1.916320112,0.293184269,971.537636,214.731895,0.701665076,1.451679227,2.835247261,0.005448595,0,0.000170861,3,mine,0
Hyperemic,112,0.452537445,1.2,0.63,3.350131,5.813001,19.851737,0.931800286,4.705911519,0.344431981,1.639859237,260.8487921,361.7055176,0.101876726,0.144280766,0.24,0.38,0.62,LAD,1.730252415,1.695134614,1.856891912,0.388515019,741.765313,312.921526,2.007972451,0.518234994,3.923985131,0.001462971,0,0.000310061,2,mine,0
Hyperemic,113,0.452537445,1.2,0.63,2.643248655,4.750686,14.921026,0.952862945,6.242037757,0.30878657,1.716413996,167.6615493,249.0546131,0.060018108,0.085769739,0.24,0.57,0.81,LAD,1.41405204,1.277972645,1.4840036,0.223212608,513.944442,208.856477,1.229649448,1.301874644,5.251371486,0.003996547,0,0.001544707,2,mine,0
Hyperemic,114,0.58834017,2.5,0.78,3.876016977,6.152654,26.672461,0.656405016,2.526625462,1.322561247,2.095906984,951.4213387,349.4313958,0.143300257,0.102440004,0.24,0.19,0.43,LAD,1.828532657,2.575320024,2.785677461,0.553093642,1376.376872,327.242436,1.329577339,1.382820795,3.196109474,0.004102829,0.000321462,0.000150235,3,mine,0
Hyperemic,9,0.55839994,1.2,0.78,6.178156552,9.622707,40.23977336,0.629637691,1.592238134,0.936578288,1.76744284,1114.227684,894.0199569,0.246112697,0.2744707,0.24,0,0.24,LAD,2.848459023,5.009132284,4.523965231,0.859844844,2536.069532,675.230019,11.80404458,8.503777286,5.017626508,0,0,0,1,mine,0
Hyperemic,7,0.481312284,1.7,0.71,6.520036149,10.051321,40.69089694,0.707715955,1.745610644,0.720930673,1.648950521,1083.098017,745.7102875,0.195987353,0.227114357,0.24,0,0.24,LAD,2.982477208,4.610984117,4.21422915,0.894272727,1956.971145,854.802792,1.005150111,3.681736908,3.604295346,0.000165112,0,0,1,mine,0
Hyperemic,109,1.22E-15,0.1,0.251,3.433080713,6.187513,23.261153,0.986463935,4.237119801,0.058140929,0.798405008,309.2447946,309.2447946,0.06512601,0.07898146,0.24,0.38,0.62,LAD,1.849091444,0.431347414,1.874464315,0.211533759,604.115309,294.853569,28.34523674,2.04002935,7.440433689,0.000657815,0,0.000377859,2,mine,0
Hyperemic,107,0.618260863,2.5,0.79,5.381528793,8.583473,36.16223739,0.431360887,1.180812516,1.556599595,2.0344759,1337.225932,471.207659,0.143136736,0.153865984,0.24,0,0.24,LAD,2.535066936,5.010605656,5.876904963,0.859344853,2106.672789,685.528138,0.478601588,1.135698453,0.727648397,0.001761722,0.000173552,6.86E-05,1,mine,0
Hyperemic,100,0.498005877,0.9,0.69,6.901138759,11.167432,38.57780826,0.767591141,1.957754902,0.592762943,1.587097775,557.9601137,826.5679107,0.184884166,0.285738908,0.24,0,0.24,LAD,3.293378639,4.15382434,4.290537585,0.851986068,2780.484192,905.946114,6.841795528,2.343825946,4.308568546,0.001186836,0,0.000363663,1,mine,0
Hyperemic,1,0.452859086,1.2,0.68,6.834801517,11.063105,44.15254786,0.782795739,1.829608493,0.507665975,1.461176566,834.9112971,1020.278409,0.255296529,0.275192312,0.24,0,0.24,LAD,3.292957311,4.360033056,4.206662287,0.905652334,2024.27804,833.409859,6.081414577,5.800368903,1.662341546,0,0,0,1,mine,0
Hyperemic,6,0.481312284,1.5,0.71,6.671608126,9.237415,40.47352857,0.71822657,1.773689614,0.695850903,1.635899406,1060.224517,798.999988,0.20869521,0.237397265,0.24,0,0.24,LAD,2.770826609,4.548208842,3.857872608,0.902114375,1967.172652,818.044982,6.527799849,4.211346533,2.895591631,6.99E-05,0,0,1,mine,0
Hyperemic,8,0.481312284,2,0.71,6.467248103,9.958848,43.60851241,0.696882978,1.605385816,0.698280461,1.605012897,1083.098017,745.7102875,0.195987353,0.227114357,0.24,0,0.24,LAD,2.970539045,4.645729926,4.262608124,0.894272727,1837.066068,768.942716,0.29983334,3.681736908,3.604295346,0.000165112,0,0,1,mine,0
Hyperemic,101,0.482932816,1.66,0.69,6.536936839,10.566863,41.91661782,0.680458125,1.612321247,0.757143072,1.657346,1344.240708,654.3807928,0.217407951,0.255625967,0.24,0,0.24,LAD,3.118091539,4.633779081,4.582341551,0.91272377,2187.223462,817.744377,2.430251485,7.05816439,1.879681446,0,0,0,1,mine,0
Hyperemic,106,0.618260863,2,0.79,5.530506529,8.80037,36.61375251,0.462105454,1.249151062,1.454022102,1.999481046,1760.576691,496.5907204,0.163913401,0.216319257,0.24,0,0.24,LAD,2.605976615,4.969238349,5.639354811,0.85110296,2353.279592,666.986987,1.457703675,4.440677751,1.47325608,0,0.000777737,0.000304943,1,mine,0
Hyperemic,108,1.22E-15,0.1,0.251,4.734063299,8.236356,33.306986,0.980196559,3.002204445,0.06065516,0.6608867,494.6262292,494.6262292,0.104752781,0.111295593,0.24,0.19,0.43,LAD,2.461372673,0.608776218,2.511101116,0.528952374,996.795059,498.321819,23.01547362,1.6575513,9.536176425,0,0,0,0,mine,0
Hyperemic,84,0.107557517,0.9,0.43,7.540075138,12.704771,42.21282728,0.96035682,2.243043135,0.092592005,0.741683326,183.8713694,900.4731888,0.303482863,0.233522831,0.24,0,0.24,LAD,3.763306141,3.679783439,3.91865405,0.910454563,1902.305428,1068.732764,81.25501416,52.91063063,5.294938493,0,0,0,0,mine,0
Hyperemic,41,1.22E-15,0.1,0.251,2.68484431,4.464591,20.91232771,0.989914157,5.521875104,0.056260199,0.830353168,266.3086568,266.3086568,0.053683667,0.071852514,0.81,0,0.81,LAD,1.334209241,0.330987325,1.34780297,0.110427048,514.053816,249.423284,23.01547362,0.8374723,6.753689152,0.000703788,0,0.000396554,2,mine,0
Hyperemic,46,0.588518179,1.2,0.63,3.151380379,5.240391,24.09325542,0.83802784,3.972473457,0.767790849,1.903901727,552.5574214,471.7756519,0.148597372,0.189431158,0.62,0,0.62,LAD,1.563272461,1.768967439,1.865418291,0.439854427,1446.800495,301.783643,6.921315176,2.671673424,0.326305779,0.00029183,0.0023423,0.001170181,2,mine,0
Hyperemic,12,0.55839994,2,0.78,5.969609989,8.709118,40.42812982,0.577799121,1.417515596,1.035786157,1.80914073,1518.526571,727.5352874,0.177732249,0.210545569,0.24,0,0.24,LAD,2.587983409,4.804093749,4.479036599,0.86611338,2048.599702,661.602462,1.325395874,4.137110018,7.44936493,0.015549228,0.000167113,0.003741214,1,mine,0
Hyperemic,15,0.590858852,1.7,0.81,5.668163379,9.272831,40.4123497,0.526045053,1.451330108,1.307616297,1.910520502,1600.984152,692.3017678,0.172415571,0.213332967,0.24,0,0.24,LAD,2.793863752,4.725689004,5.311073142,0.864074245,2670.552745,686.98256,0.825994444,3.386921042,7.491581403,0.015549228,0.000120424,0.003719879,1,mine,0
Hyperemic,47,0.588518179,1.2,0.63,2.527047931,4.044263,19.37083937,0.884487256,5.288602874,0.690683813,1.952685118,393.3311416,351.8535791,0.098850178,0.133467847,0.81,0,0.81,LAD,1.20645291,1.328739624,1.364013898,0.271407946,1108.984903,218.421619,5.882394093,3.780897329,0.494837712,0.00029183,0.004257938,0.00266598,2,mine,0
