Condition,Geometry Number,Stenosis Percentage,Length,Width,Average Flow,Max Flow,v_distal,P_d/P_a,HMR,HSR,P_Loss_Coeff,WSS_TE,WSS_LE,WSS_TE_Area,WSS_LE_Area,R_scale,R_micro,R_total,Location,CFR,BMR/HMR,CFR/FFR,WSS_Area_Bifur,WSS_Bif,WSS_LMB,WSS_min,WSS_TE_min,WSS_LE_min,WSS_TE_Area_min,WSS_LE_Area_min,WSS_Area_Bifur_min,discord,source
Non-hyperemic,17,4.528590858545518127e-01,2.3,0.6799999999999999,2.203966298850575,3.323909,,0.9464369689996041,,,,232.72388597745817,211.14250822508356,0.11951282117617164,0.04347313045933717,0.24,0.0,0.24,LAD,,,,0.23929424546588596,,,0.26420961873077325,1.696836115362898,4.280223793820011,0.025380927329952393,0.0,0.001158677886861824,,mine
Non-hyperemic,72,3.916117361723976398e-01,0.9,0.745,2.23293156321839,3.367593,11.49621955840506,,9.541164439384735,0.11518651928354272,,49.23816019873041,191.26361867820893,0.0,0.0268677719590123,0.24,0.0,0.24,LAD,,,,0.13498658483043288,377.71490500000004,75.189997,14.756467290201496,4.533511020704935,1.987439787240181,0.0,0.0,0.0006643002293895054,,mine
Non-hyperemic,75,4.058147879532344460e-01,2.5,0.9,2.245895218390804,3.387144,12.68391170185256,,8.567901035305418,0.280620228386275,,107.94053025339525,187.14202158933531,0.08143090920977078,0.02496498724450577,0.24,0.0,0.24,LAD,,,,0.1775753579063419,366.609876,72.216948,0.013657155940785187,1.1341957499759623,1.4688808790231824,0.031330060944316306,0.0,0.00018815865425066987,,mine
Non-hyperemic,81,6.182608632229936729e-01,1.66,0.79,2.229768620689656,3.362823,,,6.3729137270552405,1.086174182362659,,607.1107877703655,195.48367947400348,0.12345571871511046,0.05799765181444805,0.24,0.0,0.24,LAD,,,,0.1989555114707983,960.441831,72.306900,0.9016748341087685,3.881930641904961,4.054002394996517,0.00029478373753192975,0.00014497723240474878,0.0005443923775566173,,mine
Non-hyperemic,62,1.113770310019458476e-01,2.0,0.43,2.2145376781609203,3.339853,13.429491879205235,,8.153385556250777,0.09589613997565509,,44.89863098663997,199.29402426636653,0.0,0.03230180712932269,0.24,0.0,0.24,LAD,,,,0.05846868691198033,378.477252,73.055018,1.120261943106552,22.34067916178347,1.120261943106552,0.0,0.0012219880225503713,0.0008025632197295686,,mine
Non-hyperemic,65,2.048441957096109878e-01,1.66,0.5800000000000001,2.225889873563218,3.356973,12.595212861397744,,8.679724403565057,0.10784118191248354,,48.99948549528125,191.06615077930138,0.0,0.022474336573140314,0.24,0.0,0.24,LAD,,,,0.057470650038258755,376.431805,73.134932,1.7781096360674935,16.31640701972059,1.7781096360674935,0.0,0.0,0.00015953022646784053,,mine
Non-hyperemic,37,1.221245327087672194e-15,0.1,0.251,2.2187762298850573,3.346245,16.78587100446499,0.9743217144409217,1.827670669099138,0.04816832946806391,0.8583719832294402,,,,,0.24,0.0,0.24,LAD,,,,,352.514188,72.727775,,,,,,,,mine
Non-hyperemic,64,1.971887809965851002e-01,0.9,0.43,2.2500520919540223,3.393414,12.535497307942688,,8.768307490141263,0.07448678355683279,,42.66136280754607,188.5161329201262,0.0,0.02247909046932198,0.24,0.0,0.24,LAD,,,,0.05975985054440484,366.918236,72.792531,24.810330483028675,17.62139846876595,2.6254508319050465,0.0,0.0,0.0002543316588637258,,mine
Non-hyperemic,63,1.117331976597892851e-01,2.5,0.5800000000000001,2.228377022988506,3.360724,13.841561576044196,,7.888227221197462,0.11854769166597216,,48.73507364773995,198.57981142278047,0.0,0.02138990385691378,0.24,0.0,0.24,LAD,,,,0.057276879141809386,377.025144,72.850399,0.8192913884124853,23.725751984088014,0.8192913884124853,0.0,0.0006451034072246663,0.0003422491755730598,,mine
Non-hyperemic,9,5.583999396986579766e-01,1.2,0.78,2.2399745977011496,3.378215,,0.9231933104831737,,,,271.2835409558809,293.215572390981,0.07173460594374977,0.09792086055574589,0.24,0.0,0.24,LAD,,,,0.2066367096268743,,,8.342805702361414,3.084397620129963,1.4097864526869799,0.0009562334837220995,0.006394600196336071,0.004004778844411725,,mine
Non-hyperemic,7,4.813122844963170222e-01,1.7,0.71,2.2346099310344827,3.370125,,0.9455677266847731,,,,284.34897046370054,214.35709021676396,0.11420437121924885,0.04769830308653248,0.24,0.0,0.24,LAD,,,,0.24746934579453617,,,0.5730638614908028,1.913321991859252,4.830902876811994,0.007936993801925772,0.0,0.0012579418812578,,mine
Non-hyperemic,1,4.528590858545522568e-01,1.2,0.6799999999999999,2.227648701149425,3.359626,14.349737201114525,0.9647781113941406,7.977153506003446,0.29122801280626165,1.707943479088387,155.28285220997938,216.27901319144493,0.05596339514277292,0.07798544697716997,0.24,0.0,0.24,LAD,,,,0.21310696412245836,502.17770099999996,73.296575,0.938689646812314,0.3938445925995353,4.909217474778357,0.00634588597096732,0.0,0.0017793265176564972,,mine
Non-hyperemic,6,4.813122844963169111e-01,1.5,0.71,2.210532298850574,3.333812,14.100868289002255,0.9492537556593142,8.067110786061132,0.4312604218126099,1.8860480271297075,257.1140475267293,222.24316959668704,0.08787465570191969,0.04990438326697317,0.24,0.0,0.24,LAD,,,,0.24881352636097065,544.47041,73.222563,2.023638888638396,0.6070373220630126,6.7074905998226955,0.005448232521066383,0.0,0.0021995647281918998,,mine
Non-hyperemic,8,4.813122844963170222e-01,2.0,0.71,2.2229496896551715,3.352539,15.305329965313744,0.9420958672358588,7.458188926498674,0.4584034139191364,1.876959426230535,292.1908383218902,183.27597524981385,0.1315565336079811,0.04597185432934013,0.24,0.0,0.24,LAD,,,,0.24504527047705912,486.440241,73.935341,0.463671018790445,2.8385851167314207,3.9321621593859106,0.007730966904337427,0.0,0.0007950191236881267,,mine
Non-hyperemic,70,3.088178607003733145e-01,2.0,0.745,2.22492116091954,3.355512,12.588602321184784,,8.675130947896852,0.14928628813336775,,67.4989193616136,214.9669252229425,0.0,0.0338048880100131,0.24,0.0,0.24,LAD,,,,0.0924217482974152,426.53857400000004,72.029876,0.8775820638263713,,0.8775820638263713,0.0,0.0007959298943752502,0.0009033320989799214,,mine
Non-hyperemic,48,3.025495305936860557e-01,0.9,0.61,2.230621333333334,3.364109,13.153414344756207,0.9889002870717984,8.659774615464519,0.09719990327761374,1.2691816115692471,51.99510656124145,224.7735732943216,0.0,0.0270761424666818,0.24,0.0,0.24,LCX,,,,0.12979330500764247,442.209096,82.268671,0.21485570837454285,0.17542850312406932,6.147477707417214,0.08795381073548944,0.0,0.024261561833250796,,mine
Non-hyperemic,83,6.182608632229936729e-01,2.5,0.79,2.2450671724137945,3.385896,,,5.916585869468815,1.3485994519006685,,573.2919856747492,184.62071846528175,0.11511558239034779,0.021351976247904594,0.24,0.0,0.24,LAD,,,,0.18582817124404194,852.979215,73.738332,0.5006534469300499,2.02185921581647,2.553765858893927,0.00409122918131048,0.00046258521277146804,0.0003391995932285953,,mine
