GeometryNumber,ColumnName,ImputedValue,NeighborGeometryNumbers
89,WSS_Area_Bifur_min,4.121331802006e-05,"[np.float64(98.0), np.float64(94.0), np.float64(11.0), np.float64(29.0), np.float64(9.0)]"
26,WSS_Bif,2200.0574896,"[np.float64(30.0), np.float64(96.0), np.float64(10.0), np.float64(105.0), np.float64(106.0)]"
28,CFR,3.4985966632667145,"[np.float64(84.0), np.float64(52.0), np.float64(86.0), np.float64(101.0), np.float64(2.0)]"
28,BMR/HMR,4.116565330986213,"[np.float64(84.0), np.float64(52.0), np.float64(86.0), np.float64(101.0), np.float64(2.0)]"
28,CFR/FFR,4.142043933077,"[np.float64(84.0), np.float64(52.0), np.float64(86.0), np.float64(101.0), np.float64(2.0)]"
88,WSS_TE,800.6663310368222,"[np.float64(98.0), np.float64(89.0), np.float64(94.0), np.float64(11.0), np.float64(9.0)]"
88,WSS_TE_Area,0.22141843716874857,"[np.float64(98.0), np.float64(89.0), np.float64(94.0), np.float64(11.0), np.float64(9.0)]"
88,WSS_Area_Bifur,0.8779464860532652,"[np.float64(89.0), np.float64(94.0), np.float64(11.0), np.float64(9.0), np.float64(29.0)]"
88,WSS_TE_min,13.785620238748503,"[np.float64(98.0), np.float64(89.0), np.float64(94.0), np.float64(11.0), np.float64(9.0)]"
88,WSS_TE_Area_min,0.00148980856844992,"[np.float64(98.0), np.float64(89.0), np.float64(94.0), np.float64(11.0), np.float64(9.0)]"
88,WSS_Area_Bifur_min,4.9455981624072e-05,"[np.float64(98.0), np.float64(89.0), np.float64(94.0), np.float64(11.0), np.float64(9.0)]"
38,WSS_min,1.8643198227741056,"[np.float64(3.0), np.float64(18.0), np.float64(1.0), np.float64(87.0), np.float64(8.0)]"
98,WSS_Area_Bifur,0.8785478533021223,"[np.float64(94.0), np.float64(88.0), np.float64(89.0), np.float64(11.0), np.float64(9.0)]"
96,WSS_Area_Bifur,0.8613213076825443,"[np.float64(30.0), np.float64(26.0), np.float64(105.0), np.float64(106.0), np.float64(10.0)]"
91,WSS_Area_Bifur,0.9048049820802234,"[np.float64(4.0), np.float64(56.0), np.float64(86.0), np.float64(52.0), np.float64(28.0)]"
39,WSS_min,1.795056957744159,"[np.float64(107.0), np.float64(106.0), np.float64(105.0), np.float64(96.0), np.float64(26.0)]"
30,CFR,2.715967398835589,"[np.float64(26.0), np.float64(96.0), np.float64(10.0), np.float64(105.0), np.float64(106.0)]"
30,BMR/HMR,4.671558090258683,"[np.float64(26.0), np.float64(96.0), np.float64(10.0), np.float64(105.0), np.float64(106.0)]"
30,CFR/FFR,4.7666392016132715,"[np.float64(26.0), np.float64(96.0), np.float64(10.0), np.float64(105.0), np.float64(106.0)]"
30,WSS_min,3.010219267911927,"[np.float64(26.0), np.float64(96.0), np.float64(10.0), np.float64(105.0), np.float64(106.0)]"
90,WSS_Area_Bifur,0.8807676957403248,"[np.float64(16.0), np.float64(9.0), np.float64(11.0), np.float64(94.0), np.float64(98.0)]"
99,WSS_Area_Bifur,0.8812116642279652,"[np.float64(9.0), np.float64(90.0), np.float64(16.0), np.float64(11.0), np.float64(94.0)]"
9,BMR/HMR,4.514631604258942,"[np.float64(99.0), np.float64(11.0), np.float64(15.0), np.float64(12.0), np.float64(6.0)]"
7,WSS_TE,882.1621373231483,"[np.float64(16.0), np.float64(90.0), np.float64(99.0), np.float64(9.0), np.float64(11.0)]"
7,WSS_LE,799.916311976711,"[np.float64(16.0), np.float64(90.0), np.float64(99.0), np.float64(9.0), np.float64(11.0)]"
7,WSS_TE_Area,0.21862245018732337,"[np.float64(16.0), np.float64(90.0), np.float64(99.0), np.float64(9.0), np.float64(11.0)]"
7,WSS_LE_Area,0.2491275689020777,"[np.float64(16.0), np.float64(90.0), np.float64(99.0), np.float64(9.0), np.float64(11.0)]"
7,BMR/HMR,4.5553048622978976,"[np.float64(22.0), np.float64(16.0), np.float64(90.0), np.float64(6.0), np.float64(12.0)]"
7,WSS_Area_Bifur,0.8803762279931201,"[np.float64(16.0), np.float64(90.0), np.float64(99.0), np.float64(9.0), np.float64(11.0)]"
7,WSS_TE_min,14.229581093888603,"[np.float64(16.0), np.float64(90.0), np.float64(99.0), np.float64(9.0), np.float64(11.0)]"
7,WSS_LE_min,6.032850557487939,"[np.float64(16.0), np.float64(90.0), np.float64(99.0), np.float64(9.0), np.float64(11.0)]"
7,WSS_TE_Area_min,0.000383245600603664,"[np.float64(16.0), np.float64(90.0), np.float64(99.0), np.float64(9.0), np.float64(11.0)]"
7,WSS_LE_Area_min,0.00010717731412428001,"[np.float64(16.0), np.float64(90.0), np.float64(99.0), np.float64(9.0), np.float64(11.0)]"
7,WSS_Area_Bifur_min,4.9455981624072e-05,"[np.float64(16.0), np.float64(90.0), np.float64(99.0), np.float64(9.0), np.float64(11.0)]"
109,WSS_min,2.098901224677996,"[np.float64(43.0), np.float64(35.0), np.float64(46.0), np.float64(32.0), np.float64(115.0)]"
107,WSS_Area_Bifur,0.8131923758624572,"[np.float64(39.0), np.float64(106.0), np.float64(105.0), np.float64(96.0), np.float64(30.0)]"
1,WSS_Area_Bifur,0.9064624732033997,"[np.float64(87.0), np.float64(18.0), np.float64(3.0), np.float64(4.0), np.float64(91.0)]"
1,WSS_Area_Bifur_min,0.0013443717133231792,"[np.float64(87.0), np.float64(18.0), np.float64(3.0), np.float64(4.0), np.float64(91.0)]"
6,WSS_TE,735.2197000341546,"[np.float64(90.0), np.float64(99.0), np.float64(16.0), np.float64(7.0), np.float64(9.0)]"
6,WSS_LE,822.888917992004,"[np.float64(90.0), np.float64(99.0), np.float64(16.0), np.float64(7.0), np.float64(9.0)]"
