Condition,Geometry Number,Stenosis Percentage,Length,Width,Average Flow,Max Flow,v_distal,P_d/P_a,HMR,HSR,P_Loss_Coeff,WSS_TE,WSS_LE,WSS_TE_Area,WSS_LE_Area,R_scale,R_micro,R_total,Location,CFR,BMR/HMR,CFR/FFR,WSS_Area_Bifur,WSS_Bif,WSS_LMB,WSS_min,WSS_TE_min,WSS_LE_min,WSS_TE_Area_min,WSS_LE_Area_min,WSS_Area_Bifur_min,discord,source,Location_num
Hyperemic,46,5.89E-01,1.2,0.63,3.151380379,5.240391,24.09325542,0.83802784,3.972473457,0.767790849,1.903901727,552.5574214,471.7756519,0.148597372,0.189431158,0.62,0,0.62,LAD,1.563272461,1.768967439,1.865418291,0.439854427,1446.800495,301.783643,6.921315176,2.671673424,0.326305779,0.00029183,0.0023423,0.001170181,1,mine,0
Hyperemic,397,,,,,,,0.367521368,3.909090909,,3.187098359,,,,,,,,,1.30952381,1.492248062,3.56312292,,,,,,,,,,0,garcia,0
Hyperemic,115,5.88E-01,2.5,0.78,2.993484184,4.872295,20.008623,0.755624005,3.825090444,1.237070658,2.191731585,646.247176,241.1292802,0.13167678,0.07525076,0.24,0.38,0.62,LAD,1.448017477,1.701102037,1.916320112,0.293184269,971.537636,214.731895,0.701665076,1.451679227,2.835247261,0.005448595,0,0.000170861,0,mine,0
Hyperemic,35,5.88E-01,2.5,0.78,2.980505609,4.876324,22.60948404,0.752476279,3.818442647,1.256059707,2.145273912,770.9197411,284.5744351,0.137130202,0.082567827,0.62,0,0.62,LAD,1.449214873,1.704063606,1.925927652,0.401370868,1127.190525,254.535953,0.812941709,1.429868362,0.812941709,0.004732324,0,0,0,mine,0
Hyperemic,396,,,,,,,0.618181818,3.777777778,,2.51335629,,,,,,,,,1.125,1.422794118,1.819852942,,,,,,,,,,0,garcia,0
Hyperemic,395,,,,,,,0.6125,3.769230769,,2.664126999,,,,,,,,,1.666666667,2.414965986,2.721088436,,,,,,,,,,0,garcia,0
Hyperemic,394,,,,,,,0.85,3.695652174,,1.853287597,,,,,,,,,1.916666667,2.142156863,2.254901961,,,,,,,,,,1,garcia,0
Hyperemic,393,,,,,,,0.265822785,3.684210526,,3.652330292,,,,,,,,,0.93442623,1.290398126,3.515222482,,,,,,,,,,0,garcia,0
Hyperemic,392,,,,,,,0.55,3.666666667,,2.701682005,,,,,,,,,1.363636364,1.561983471,2.479338844,,,,,,,,,,0,garcia,0
Hyperemic,391,,,,,,,0.884210526,3.652173913,,1.718589023,,,,,,,,,2.527472527,2.948717949,2.858451073,,,,,,,,,,0,garcia,0
Hyperemic,390,,,,,,,0.487804878,3.636363636,,2.94111593,,,,,,,,,1.428571429,2.357142857,2.92857143,,,,,,,,,,0,garcia,0
Hyperemic,389,,,,,,,0.747252747,3.578947368,,2.204872644,,,,,,,,,1.583333333,1.979166667,2.118872549,,,,,,,,,,0,garcia,0
